"","dens1","dens2","popSize","avgDens"
"134",4.4,50,79.7218543046358,3.98609271523179
"135",4.4,80,89.2847682119205,4.46423841059603
"136",4.4,110,110.629139072848,5.53145695364238
"137",4.4,140,119.490066225166,5.97450331125828
"138",4.4,170,144.337748344371,7.21688741721854
"139",4.4,200,170.774834437086,8.5387417218543
"140",4.4,230,174.284768211921,8.71423841059603
"141",4.4,260,187.920529801325,9.39602649006622
"142",4.4,290,210.860927152318,10.5430463576159
"143",4.4,320,232.993377483444,11.6496688741722
"144",4.6,20,52.8013245033113,2.64006622516556
"145",4.6,50,74.4172185430464,3.72086092715232
"146",4.6,80,97.317880794702,4.8658940397351
"147",4.6,110,99.8675496688742,4.99337748344371
"148",4.6,140,120.688741721854,6.03443708609271
"149",4.6,170,146.708609271523,7.33543046357616
"150",4.6,200,158.562913907285,7.92814569536424
"151",4.6,230,180.46357615894,9.02317880794702
"152",4.6,260,181.682119205298,9.0841059602649
"153",4.6,290,208.629139072848,10.4314569536424
"154",4.6,320,214.013245033113,10.7006622516556
"155",4.8,20,50.7284768211921,2.5364238410596
"156",4.8,50,68.682119205298,3.4341059602649
"157",4.8,80,85.0198675496689,4.25099337748344
"158",4.8,110,97.7549668874172,4.88774834437086
"159",4.8,140,120.403973509934,6.02019867549669
"160",4.8,170,127.344370860927,6.36721854304636
"161",4.8,200,151.112582781457,7.55562913907285
"162",4.8,230,147.086092715232,7.35430463576159
"163",4.8,260,178.741721854305,8.93708609271523
"164",4.8,290,199.913907284768,9.99569536423841
"165",4.8,320,189.05298013245,9.45264900662252
"166",5,20,52.3046357615894,2.61523178807947
"167",5,50,71.9470198675497,3.59735099337748
"168",5,80,80.6556291390728,4.03278145695364
"169",5,110,100.927152317881,5.04635761589404
"170",5,140,106.701986754967,5.33509933774834
"171",5,170,138.834437086093,6.94172185430464
"172",5,200,137.655629139073,6.88278145695364
"173",5,230,150.470198675497,7.52350993377483
"174",5,260,167.927152317881,8.39635761589404
"175",5,290,194.907284768212,9.7453642384106
"176",5,320,213.801324503311,10.6900662251656
"177",5.2,20,43.6556291390729,2.18278145695364
"178",5.2,50,61.6026490066225,3.08013245033113
"179",5.2,80,82.9867549668874,4.14933774834437
"180",5.2,110,100.894039735099,5.04470198675497
"181",5.2,140,103.735099337748,5.18675496688742
"182",5.2,170,119.238410596026,5.96192052980132
"183",5.2,200,144.841059602649,7.24205298013245
"184",5.2,230,141.337748344371,7.06688741721854
"185",5.2,260,160.145695364238,8.00728476821192
"186",5.2,290,149.284768211921,7.46423841059603
"187",5.2,320,190.079470198675,9.50397350993378
"188",5.4,20,43.794701986755,2.18973509933775
"189",5.4,50,62.7682119205298,3.13841059602649
"190",5.4,80,74.7814569536424,3.73907284768212
"191",5.4,110,91.5033112582781,4.57516556291391
"192",5.4,140,105.860927152318,5.29304635761589
"193",5.4,170,112.87417218543,5.64370860927152
"194",5.4,200,127.026490066225,6.35132450331126
"195",5.4,230,139.854304635762,6.99271523178808
"196",5.4,260,162.245033112583,8.11225165562914
"197",5.4,290,161.258278145695,8.06291390728477
"198",5.4,320,177.94701986755,8.89735099337748
"199",5.6,20,43.8278145695364,2.19139072847682
"200",5.6,50,60.5894039735099,3.0294701986755
"201",5.6,80,83.0198675496689,4.15099337748344
"202",5.6,110,85.271523178808,4.2635761589404
"203",5.6,140,102.53642384106,5.12682119205298
"204",5.6,170,109.145695364238,5.45728476821192
"205",5.6,200,118.317880794702,5.9158940397351
"206",5.6,230,137.205298013245,6.86026490066225
"207",5.6,260,146.920529801325,7.34602649006623
"208",5.6,290,173.741721854305,8.68708609271523
"209",5.6,320,172.039735099338,8.60198675496689
"210",5.8,20,42.4503311258278,2.12251655629139
"211",5.8,50,60.9602649006623,3.04801324503311
"212",5.8,80,72.5761589403973,3.62880794701987
"213",5.8,110,85.2450331125828,4.26225165562914
"214",5.8,140,105.450331125828,5.27251655629139
"215",5.8,170,100.46357615894,5.02317880794702
"216",5.8,200,132.87417218543,6.64370860927152
"217",5.8,230,125.384105960265,6.26920529801324
"218",5.8,260,157.655629139073,7.88278145695364
"219",5.8,290,150.172185430464,7.50860927152318
"220",5.8,320,157.827814569536,7.89139072847682
"221",6,20,39.2980132450331,1.96490066225166
"222",6,50,58.2781456953642,2.91390728476821
"223",6,80,70.2980132450331,3.51490066225166
"224",6,110,77.317880794702,3.8658940397351
"225",6,140,89.205298013245,4.46026490066225
"226",6,170,107.774834437086,5.3887417218543
"227",6,200,99.5562913907285,4.97781456953642
"228",6,230,133.443708609272,6.67218543046358
"229",6,260,131.139072847682,6.55695364238411
"230",6,290,138.450331125828,6.92251655629139
"231",6,320,162.834437086093,8.14172185430464
